Day,Hour,EventType,Probability,Duration [min],Flow rate [L/min],Sigma duration [min],Sigma flow rate [L/min],Probability_day
0,17:48,Small,0.1178,1,1,1,2,1.0
0,18:00,Small,0.1176,1,1,1,2,1.0
0,18:11,Small,0.1174,1,1,1,2,1.0
0,18:23,Small,0.1174,1,1,1,2,1.0
0,18:36,Small,0.1172,1,1,1,2,1.0
0,18:48,Small,0.117,1,1,1,2,1.0
0,19:00,Small,0.1168,1,1,1,2,1.0
0,19:11,Small,0.1166,1,1,1,2,1.0
0,19:23,Small,0.1164,1,1,1,2,1.0
0,19:36,Small,0.1162,1,1,1,2,1.0
0,19:48,Small,0.116,1,1,1,2,1.0
0,20:00,Small,0.1124,1,1,1,2,1.0
0,20:11,Small,0.1092,1,1,1,2,1.0
0,20:23,Small,0.1048,1,1,1,2,1.0
0,20:36,Small,0.0998,1,1,1,2,1.0
0,20:48,Small,0.094,1,1,1,2,1.0
0,21:00,Small,0.0876,1,1,1,2,1.0
0,21:11,Small,0.0808,1,1,1,2,1.0
0,21:23,Small,0.0738,1,1,1,2,1.0
0,21:36,Small,0.0668,1,1,1,2,1.0
0,21:48,Small,0.0598,1,1,1,2,1.0
0,22:00,Small,0.0532,1,1,1,2,1.0
0,22:11,Small,0.0466,1,1,1,2,1.0
0,22:23,Small,0.0406,1,1,1,2,1.0
0,22:36,Small,0.0348,1,1,1,2,1.0
0,22:48,Small,0.0298,1,1,1,2,1.0
0,23:00,Small,0.025,1,1,1,2,1.0
0,23:11,Small,0.021,1,1,1,2,1.0
0,23:23,Small,0.02,1,1,1,2,1.0
0,23:36,Small,0.02,1,1,1,2,1.0
0,23:48,Small,0.02,1,1,1,2,1.0
1,00:00,Shower,0.008,5,8,2,2,0.9
1,00:12,Shower,0.008,5,8,2,2,0.9
1,00:24,Shower,0.008,5,8,2,2,0.9
1,00:36,Shower,0.008,5,8,2,2,0.9
1,00:48,Shower,0.008,5,8,2,2,0.9
1,01:00,Shower,0.008,5,8,2,2,0.9
1,01:11,Shower,0.008,5,8,2,2,0.9
1,01:23,Shower,0.008,5,8,2,2,0.9
1,01:36,Shower,0.008,5,8,2,2,0.9
1,01:48,Shower,0.008,5,8,2,2,0.9
1,02:00,Shower,0.008,5,8,2,2,0.9
1,02:12,Shower,0.008,5,8,2,2,0.9
1,02:23,Shower,0.008,5,8,2,2,0.9
1,02:36,Shower,0.008,5,8,2,2,0.9
1,02:47,Shower,0.008,5,8,2,2,0.9
1,03:00,Shower,0.008,5,8,2,2,0.9
1,03:12,Shower,0.008,5,8,2,2,0.9
1,03:23,Shower,0.008,5,8,2,2,0.9
1,03:36,Shower,0.008,5,8,2,2,0.9
1,03:47,Shower,0.008,5,8,2,2,0.9
1,04:00,Shower,0.008,5,8,2,2,0.9
1,04:12,Shower,0.008,5,8,2,2,0.9
1,04:24,Shower,0.008,5,8,2,2,0.9
1,04:35,Shower,0.008,5,8,2,2,0.9
1,04:47,Shower,0.01008,5,8,2,2,0.9
1,05:00,Shower,0.01696,5,8,2,2,0.9
1,05:12,Shower,0.02704,5,8,2,2,0.9
1,05:24,Shower,0.0412,5,8,2,2,0.9
1,05:35,Shower,0.05968,5,8,2,2,0.9
1,05:47,Shower,0.08224,5,8,2,2,0.9
1,06:00,Shower,0.10792,5,8,2,2,0.9
1,06:12,Shower,0.13472,5,8,2,2,0.9
1,06:24,Shower,0.16016,5,8,2,2,0.9
1,06:35,Shower,0.1812,5,8,2,2,0.9
1,06:47,Shower,0.19512,5,8,2,2,0.9
1,07:00,Shower,0.2,5,8,2,2,0.9
1,07:12,Shower,0.19512,5,8,2,2,0.9
1,07:24,Shower,0.1812,5,8,2,2,0.9
1,07:35,Shower,0.16016,5,8,2,2,0.9
1,07:47,Shower,0.13472,5,8,2,2,0.9
1,08:00,Shower,0.10792,5,8,2,2,0.9
