datetime,temperature_2m,surface_pressure,wind_speed_100m,wind_direction_100m
2019-01-03 19:30:00+01:00,-1.893,1002.39963,6.412057,317.854585
2019-01-03 19:45:00+01:00,-1.893,1002.423815,6.423558,316.742052
2019-01-03 20:00:00+01:00,-1.893,1002.448,6.43506,315.62952
2019-01-03 20:15:00+01:00,-1.8305,1002.4072,6.24095,315.11413
2019-01-03 20:30:00+01:00,-1.768,1002.3664,6.046841,314.59874
2019-01-03 20:45:00+01:00,-1.7055,1002.3256,5.852732,314.08335
2019-01-03 21:00:00+01:00,-1.643,1002.2848,5.658622,313.56796
2019-01-03 21:15:00+01:00,-1.593,1002.36345,5.56991,313.735015
2019-01-03 21:30:00+01:00,-1.543,1002.4421,5.481197,313.90207
2019-01-03 21:45:00+01:00,-1.493,1002.52075,5.392485,314.069125
2019-01-03 22:00:00+01:00,-1.443,1002.5994,5.303772,314.23618
2019-01-03 22:15:00+01:00,-1.4055,1002.6281,5.413535,316.90868
2019-01-03 22:30:00+01:00,-1.368,1002.6568,5.523297,319.58118
2019-01-03 22:45:00+01:00,-1.3305,1002.6855,5.633059,322.25368
2019-01-03 23:00:00+01:00,-1.293,1002.7142,5.742821,324.92618
2019-01-03 23:15:00+01:00,-1.2555,1002.76715,5.764854,325.953715
2019-01-03 23:30:00+01:00,-1.218,1002.8201,5.786886,326.98125
2019-01-03 23:45:00+01:00,-1.1805,1002.87305,5.808919,328.008785
2019-01-04 00:00:00+01:00,-1.143,1002.926,5.830952,329.03632
2019-01-04 00:15:00+01:00,-0.918,1002.953125,5.69845,327.829975
2019-01-04 00:30:00+01:00,-0.693,1002.98025,5.565948,326.62363
2019-01-04 00:45:00+01:00,-0.468,1003.007375,5.433445,325.417285
2019-01-04 01:00:00+01:00,-0.243,1003.0345,5.300943,324.21094
2019-01-04 01:15:00+01:00,-0.2305,1002.987625,5.301651,322.099155
2019-01-04 01:30:00+01:00,-0.218,1002.94075,5.302358,319.98737
2019-01-04 01:45:00+01:00,-0.2055,1002.893875,5.303065,317.875585
2019-01-04 02:00:00+01:00,-0.193,1002.847,5.303772,315.7638
2019-01-04 02:15:00+01:00,-0.1555,1002.924075,5.282868,317.715108
2019-01-04 02:30:00+01:00,-0.118,1003.00115,5.261963,319.666415
2019-01-04 02:45:00+01:00,-0.0805,1003.078225,5.241058,321.617722
2019-01-04 03:00:00+01:00,-0.043,1003.1553,5.220153,323.56903
2019-01-04 03:15:00+01:00,-0.0555,1003.177982,5.146222,325.384897
2019-01-04 03:30:00+01:00,-0.068,1003.200665,5.072291,327.200765
2019-01-04 03:45:00+01:00,-0.0805,1003.223348,4.99836,329.016632
2019-01-04 04:00:00+01:00,-0.093,1003.24603,4.924429,330.8325
2019-01-04 04:15:00+01:00,-0.1055,1003.196148,4.886008,329.86841
2019-01-04 04:30:00+01:00,-0.118,1003.146265,4.847586,328.90432
2019-01-04 04:45:00+01:00,-0.1305,1003.096382,4.809165,327.94023
2019-01-04 05:00:00+01:00,-0.143,1003.0465,4.770744,326.97614
2019-01-04 05:15:00+01:00,-0.2305,1002.9634,4.972018,327.094605
2019-01-04 05:30:00+01:00,-0.318,1002.8803,5.173292,327.21307
2019-01-04 05:45:00+01:00,-0.4055,1002.7972,5.374566,327.331535
2019-01-04 06:00:00+01:00,-0.493,1002.7141,5.57584,327.45
2019-01-04 06:15:00+01:00,-0.5555,1002.68241,5.326979,326.557638
2019-01-04 06:30:00+01:00,-0.618,1002.65072,5.078117,325.665275
2019-01-04 06:45:00+01:00,-0.6805,1002.61903,4.829255,324.772912
2019-01-04 07:00:00+01:00,-0.743,1002.58734,4.580393,323.88055
2019-01-04 07:15:00+01:00,-0.818,1002.626655,4.420498,319.337112
2019-01-04 07:30:00+01:00,-0.893,1002.66597,4.260603,314.793675
2019-01-04 07:45:00+01:00,-0.968,1002.705285,4.100707,310.250238
2019-01-04 08:00:00+01:00,-1.043,1002.7446,3.940812,305.7068
2019-01-04 08:15:00+01:00,-0.9805,1002.752085,3.94619,299.323962
2019-01-04 08:30:00+01:00,-0.918,1002.75957,3.951567,292.941125
2019-01-04 08:45:00+01:00,-0.8555,1002.767055,3.956945,286.558288
2019-01-04 09:00:00+01:00,-0.793,1002.77454,3.962323,280.17545
2019-01-04 09:15:00+01:00,-0.643,1002.865205,4.047033,277.964632
2019-01-04 09:30:00+01:00,-0.493,1002.95587,4.131743,275.753815
2019-01-04 09:45:00+01:00,-0.343,1003.046535,4.216453,273.542998
2019-01-04 10:00:00+01:00,-0.193,1003.1372,4.301163,271.33218
2019-01-04 10:15:00+01:00,-0.043,1003.010065,4.339705,273.258985
2019-01-04 10:30:00+01:00,0.107,1002.88293,4.378248,275.18579
2019-01-04 10:45:00+01:00,0.257,1002.755795,4.416791,277.112595
2019-01-04 11:00:00+01:00,0.407,1002.62866,4.455334,279.0394
2019-01-04 11:15:00+01:00,0.5195,1002.32756,4.5334,279.194505
2019-01-04 11:30:00+01:00,0.632,1002.02646,4.611466,279.34961
2019-01-04 11:45:00+01:00,0.7445,1001.72536,4.689532,279.504715
2019-01-04 12:00:00+01:00,0.857,1001.42426,4.767599,279.65982
2019-01-04 12:15:00+01:00,0.8445,1001.44697,5.054085,281.93022
2019-01-04 12:30:00+01:00,0.832,1001.46968,5.340571,284.20062
2019-01-04 12:45:00+01:00,0.8195,1001.49239,5.627057,286.47102
2019-01-04 13:00:00+01:00,0.807,1001.5151,5.913544,288.74142
2019-01-04 13:15:00+01:00,0.7945,1001.34421,5.992399,285.437925
2019-01-04 13:30:00+01:00,0.782,1001.17332,6.071254,282.13443
2019-01-04 13:45:00+01:00,0.7695,1001.00243,6.150109,278.830935
2019-01-04 14:00:00+01:00,0.757,1000.83154,6.228964,275.52744
2019-01-04 14:15:00+01:00,0.7695,1000.61528,6.599319,274.888995
2019-01-04 14:30:00+01:00,0.782,1000.39902,6.969673,274.25055
2019-01-04 14:45:00+01:00,0.7945,1000.18276,7.340028,273.612105
