day,time,event,probability,duration,flow_rate,sigma_duration,sigma_flow_rate
0,19:11:00,bath,0.049,600,0.233,120,0.033
0,19:23:00,bath,0.047,600,0.233,120,0.033
0,19:36:00,bath,0.044,600,0.233,120,0.033
0,19:48:00,bath,0.04,600,0.233,120,0.033
0,20:00:00,bath,0.035,600,0.233,120,0.033
0,20:11:00,bath,0.03,600,0.233,120,0.033
0,20:23:00,bath,0.025,600,0.233,120,0.033
0,20:36:00,bath,0.021,600,0.233,120,0.033
0,20:48:00,bath,0.016,600,0.233,120,0.033
0,21:00:00,bath,0.012,600,0.233,120,0.033
0,21:11:00,bath,0.009,600,0.233,120,0.033
0,21:23:00,bath,0.008,600,0.233,120,0.033
0,21:36:00,bath,0.007,600,0.233,120,0.033
0,21:48:00,bath,0.007,600,0.233,120,0.033
0,22:00:00,bath,0.006,600,0.233,120,0.033
0,22:11:00,bath,0.006,600,0.233,120,0.033
0,22:23:00,bath,0.006,600,0.233,120,0.033
0,22:36:00,bath,0.005,600,0.233,120,0.033
0,22:48:00,bath,0.005,600,0.233,120,0.033
0,23:00:00,bath,0.005,600,0.233,120,0.033
0,23:11:00,bath,0.004,600,0.233,120,0.033
0,23:23:00,bath,0.004,600,0.233,120,0.033
0,23:36:00,bath,0.004,600,0.233,120,0.033
0,23:48:00,bath,0.003,600,0.233,120,0.033
0,00:00:00,medium,0.02,120,0.1,120,0.033
0,00:12:00,medium,0.02,120,0.1,120,0.033
0,00:24:00,medium,0.02,120,0.1,120,0.033
0,00:36:00,medium,0.02,120,0.1,120,0.033
0,00:48:00,medium,0.02,120,0.1,120,0.033
0,01:00:00,medium,0.02,120,0.1,120,0.033
0,01:11:00,medium,0.02,120,0.1,120,0.033
0,01:23:00,medium,0.02,120,0.1,120,0.033
0,01:36:00,medium,0.02,120,0.1,120,0.033
0,01:48:00,medium,0.02,120,0.1,120,0.033
0,02:00:00,medium,0.02,120,0.1,120,0.033
0,02:12:00,medium,0.02,120,0.1,120,0.033
0,02:23:00,medium,0.02,120,0.1,120,0.033
0,02:36:00,medium,0.02,120,0.1,120,0.033
0,02:47:00,medium,0.02,120,0.1,120,0.033
0,03:00:00,medium,0.02,120,0.1,120,0.033
0,03:12:00,medium,0.02,120,0.1,120,0.033
0,03:23:00,medium,0.023,120,0.1,120,0.033
0,03:36:00,medium,0.027,120,0.1,120,0.033
0,03:47:00,medium,0.032,120,0.1,120,0.033
0,04:00:00,medium,0.038,120,0.1,120,0.033
0,04:12:00,medium,0.044,120,0.1,120,0.033
0,04:24:00,medium,0.05,120,0.1,120,0.033
0,04:35:00,medium,0.056,120,0.1,120,0.033
0,04:47:00,medium,0.063,120,0.1,120,0.033
0,05:00:00,medium,0.07,120,0.1,120,0.033
0,05:12:00,medium,0.077,120,0.1,120,0.033
0,05:24:00,medium,0.084,120,0.1,120,0.033
0,05:35:00,medium,0.091,120,0.1,120,0.033
0,05:47:00,medium,0.097,120,0.1,120,0.033
0,06:00:00,medium,0.102,120,0.1,120,0.033
0,06:12:00,medium,0.107,120,0.1,120,0.033
0,06:24:00,medium,0.111,120,0.1,120,0.033
0,06:35:00,medium,0.114,120,0.1,120,0.033
0,06:47:00,medium,0.115,120,0.1,120,0.033
0,07:00:00,medium,0.118,120,0.1,120,0.033
0,07:12:00,medium,0.118,120,0.1,120,0.033
0,07:24:00,medium,0.119,120,0.1,120,0.033
0,07:35:00,medium,0.119,120,0.1,120,0.033
0,07:47:00,medium,0.119,120,0.1,120,0.033
0,08:00:00,medium,0.119,120,0.1,120,0.033
0,08:11:00,medium,0.119,120,0.1,120,0.033
0,08:24:00,medium,0.119,120,0.1,120,0.033
0,08:35:00,medium,0.119,120,0.1,120,0.033
0,08:48:00,medium,0.119,120,0.1,120,0.033
0,09:00:00,medium,0.119,120,0.1,120,0.033
0,09:11:00,medium,0.119,120,0.1,120,0.033
0,09:24:00,medium,0.12,120,0.1,120,0.033
0,09:35:00,medium,0.12,120,0.1,120,0.033
0,09:48:00,medium,0.12,120,0.1,120,0.033
0,10:00:00,medium,0.12,120,0.1,120,0.033
0,10:11:00,medium,0.12,120,0.1,120,0.033
0,10:24:00,medium,0.12,120,0.1,120,0.033
0,10:35:00,medium,0.12,120,0.1,120,0.033
0,10:48:00,medium,0.12,120,0.1,120,0.033
0,11:00:00,medium,0.12,120,0.1,120,0.033
0,11:11:00,medium,0.12,120,0.1,120,0.033
0,11:24:00,medium,0.12,120,0.1,120,0.033
0,11:35:00,medium,0.12,120,0.1,120,0.033
0,11:48:00,medium,0.12,120,0.1,120,0.033
0,12:00:00,medium,0.12,120,0.1,120,0.033
0,12:11:00,medium,0.12,120,0.1,120,0.033
0,12:24:00,medium,0.12,120,0.1,120,0.033
0,12:35:00,medium,0.12,120,0.1,120,0.033
0,12:48:00,medium,0.12,120,0.1,120,0.033
0,13:00:00,medium,0.12,120,0.1,120,0.033
0,13:11:00,medium,0.12,120,0.1,120,0.033
0,13:24:00,medium,0.12,120,0.1,120,0.033
0,13:35:00,medium,0.12,120,0.1,120,0.033
0,13:48:00,medium,0.12,120,0.1,120,0.033
0,14:00:00,medium,0.12,120,0.1,120,0.033
0,14:11:00,medium,0.12,120,0.1,120,0.033
0,14:24:00,medium,0.12,120,0.1,120,0.033
0,14:35:00,medium,0.12,120,0.1,120,0.033
0,14:48:00,medium,0.119,120,0.1,120,0.033
0,15:00:00,medium,0.119,120,0.1,120,0.033
0,15:11:00,medium,0.119,120,0.1,120,0.033
0,15:24:00,medium,0.119,120,0.1,120,0.033
0,15:35:00,medium,0.119,120,0.1,120,0.033
0,15:48:00,medium,0.119,120,0.1,120,0.033
0,16:00:00,medium,0.119,120,0.1,120,0.033
0,16:11:00,medium,0.119,120,0.1,120,0.033
0,16:23:00,medium,0.119,120,0.1,120,0.033
0,16:36:00,medium,0.119,120,0.1,120,0.033
0,16:48:00,medium,0.118,120,0.1,120,0.033
0,17:00:00,medium,0.118,120,0.1,120,0.033
0,17:11:00,medium,0.118,120,0.1,120,0.033
0,17:23:00,medium,0.118,120,0.1,120,0.033
0,17:36:00,medium,0.118,120,0.1,120,0.033
0,17:48:00,medium,0.118,120,0.1,120,0.033
0,18:00:00,medium,0.118,120,0.1,120,0.033
0,18:11:00,medium,0.117,120,0.1,120,0.033
0,18:23:00,medium,0.117,120,0.1,120,0.033
0,18:36:00,medium,0.117,120,0.1,120,0.033
0,18:48:00,medium,0.117,120,0.1,120,0.033
0,19:00:00,medium,0.117,120,0.1,120,0.033
0,19:11:00,medium,0.117,120,0.1,120,0.033
0,19:23:00,medium,0.116,120,0.1,120,0.033
0,19:36:00,medium,0.116,120,0.1,120,0.033
0,19:48:00,medium,0.116,120,0.1,120,0.033
0,20:00:00,medium,0.112,120,0.1,120,0.033
0,20:11:00,medium,0.109,120,0.1,120,0.033
0,20:23:00,medium,0.105,120,0.1,120,0.033
0,20:36:00,medium,0.1,120,0.1,120,0.033
0,20:48:00,medium,0.094,120,0.1,120,0.033
0,21:00:00,medium,0.088,120,0.1,120,0.033
0,21:11:00,medium,0.081,120,0.1,120,0.033
0,21:23:00,medium,0.074,120,0.1,120,0.033
0,21:36:00,medium,0.067,120,0.1,120,0.033
0,21:48:00,medium,0.06,120,0.1,120,0.033
0,22:00:00,medium,0.053,120,0.1,120,0.033
0,22:11:00,medium,0.047,120,0.1,120,0.033
0,22:23:00,medium,0.041,120,0.1,120,0.033
0,22:36:00,medium,0.035,120,0.1,120,0.033
0,22:48:00,medium,0.03,120,0.1,120,0.033
0,23:00:00,medium,0.025,120,0.1,120,0.033
0,23:11:00,medium,0.021,120,0.1,120,0.033
0,23:23:00,medium,0.02,120,0.1,120,0.033
0,23:36:00,medium,0.02,120,0.1,120,0.033
0,23:48:00,medium,0.02,120,0.1,120,0.033
0,00:00:00,small,0.02,60,0.017,60,0.033
0,00:12:00,small,0.02,60,0.017,60,0.033
0,00:24:00,small,0.02,60,0.017,60,0.033
0,00:36:00,small,0.02,60,0.017,60,0.033
0,00:48:00,small,0.02,60,0.017,60,0.033
0,01:00:00,small,0.02,60,0.017,60,0.033
0,01:11:00,small,0.02,60,0.017,60,0.033
0,01:23:00,small,0.02,60,0.017,60,0.033
0,01:36:00,small,0.02,60,0.017,60,0.033
0,01:48:00,small,0.02,60,0.017,60,0.033
0,02:00:00,small,0.02,60,0.017,60,0.033
0,02:12:00,small,0.02,60,0.017,60,0.033
